id,subject_id,subject_name,teaching_method_code,teaching_method_name,teaching_method_pred,conduct_score_pred,severity_level,reason_text,solution_text
22,INF1393,Kiến trúc máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.4353,0.4964,Trung bình,[INF1393 - Kiến trúc máy tính] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
23,INF0802,Giới thiệu ngành và Kỹ năng nghề nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.7922,0.8982,Tốt,"[INF0802 - Giới thiệu ngành và Kỹ năng nghề nghiệp] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
24,INF1263,Kiểm thử phần mềm,TM1,Giải thích cụ thể (Explicit Teaching),0.5693,0.2955,Cao,[INF1263 - Kiểm thử phần mềm] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
25,INF1502,Xử lý hậu kỳ,TM1,Giải thích cụ thể (Explicit Teaching),0.9137,0.3601,Trung bình,[INF1502 - Xử lý hậu kỳ] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
26,INF0073,Cấu trúc dữ liệu và giải thuật,TM1,Giải thích cụ thể (Explicit Teaching),0.7564,0.792,Thấp,"[INF0073 - Cấu trúc dữ liệu và giải thuật] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
27,INF1493,Thiết kế đồ họa,TM1,Giải thích cụ thể (Explicit Teaching),0.5855,0.0859,Cao,"[INF1493 - Thiết kế đồ họa] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
28,INF0103,Nhập môn Trí tuệ nhân tạo,TM1,Giải thích cụ thể (Explicit Teaching),0.4024,0.8314,Thấp,[INF0103 - Nhập môn Trí tuệ nhân tạo] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
29,SKI0091,Kỹ năng khởi nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.5955,0.3806,Trung bình,"[SKI0091 - Kỹ năng khởi nghiệp] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
30,INF1532,Dự án nghề nâng cao,TM1,Giải thích cụ thể (Explicit Teaching),0.6124,0.6038,Thấp,[INF1532 - Dự án nghề nâng cao] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
31,INF1303,Phân tích dữ liệu kinh doanh,TM1,Giải thích cụ thể (Explicit Teaching),0.6009,0.554,Trung bình,"[INF1303 - Phân tích dữ liệu kinh doanh] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
32,INF0153,Hệ điều hành,TM1,Giải thích cụ thể (Explicit Teaching),0.5176,0.6755,Thấp,[INF0153 - Hệ điều hành] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
33,INF0983,Nhập môn khoa học dữ liệu,TM1,Giải thích cụ thể (Explicit Teaching),0.5609,0.5669,Trung bình,[INF0983 - Nhập môn khoa học dữ liệu] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
34,BSC0092,Phương pháp luận nghiên cứu khoa học,TM1,Giải thích cụ thể (Explicit Teaching),0.8355,0.7722,Thấp,[BSC0092 - Phương pháp luận nghiên cứu khoa học] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
35,SKI0091,Kỹ năng khởi nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.8691,0.7934,Thấp,[SKI0091 - Kỹ năng khởi nghiệp] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
36,INF1413,Cơ sở tạo hình,TM1,Giải thích cụ thể (Explicit Teaching),0.4379,0.6392,Thấp,"[INF1413 - Cơ sở tạo hình] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
37,INF1143,Xử lý ảnh số và thị giác máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.7624,0.5281,Trung bình,[INF1143 - Xử lý ảnh số và thị giác máy tính] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
38,INF1303,Phân tích dữ liệu kinh doanh,TM1,Giải thích cụ thể (Explicit Teaching),0.4306,0.6134,Thấp,"[INF1303 - Phân tích dữ liệu kinh doanh] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
39,INF1532,Dự án nghề nâng cao,TM1,Giải thích cụ thể (Explicit Teaching),0.7114,0.5637,Trung bình,[INF1532 - Dự án nghề nâng cao] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
40,INF0303,Lập trình trên thiết bị di động,TM1,Giải thích cụ thể (Explicit Teaching),0.4858,0.4759,Trung bình,"[INF0303 - Lập trình trên thiết bị di động] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
41,INF1522,Dự án nghề cơ bản,TM1,Giải thích cụ thể (Explicit Teaching),0.6995,0.3994,Trung bình,[INF1522 - Dự án nghề cơ bản] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
42,PLO0032,Tư tưởng Hồ Chí Minh,TM1,Giải thích cụ thể (Explicit Teaching),0.5527,0.56,Trung bình,[PLO0032 - Tư tưởng Hồ Chí Minh] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
43,PLO0072,Lịch sử Đảng Cộng sản Việt Nam,TM1,Giải thích cụ thể (Explicit Teaching),0.4593,0.4004,Trung bình,"[PLO0072 - Lịch sử Đảng Cộng sản Việt Nam] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
44,SKI0011,Kỹ năng thuyết trình,TM1,Giải thích cụ thể (Explicit Teaching),0.6621,0.12,Cao,[SKI0011 - Kỹ năng thuyết trình] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
45,INF0073,Cấu trúc dữ liệu và giải thuật,TM1,Giải thích cụ thể (Explicit Teaching),0.7197,0.7252,Thấp,"[INF0073 - Cấu trúc dữ liệu và giải thuật] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
46,INF1522,Dự án nghề cơ bản,TM1,Giải thích cụ thể (Explicit Teaching),0.8982,0.2929,Cao,[INF1522 - Dự án nghề cơ bản] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
47,INF1063,Học máy (Machine Learning),TM1,Giải thích cụ thể (Explicit Teaching),0.8816,0.7449,Thấp,"[INF1063 - Học máy (Machine Learning)] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
48,INF0243,Lập trình web (Backend),TM1,Giải thích cụ thể (Explicit Teaching),0.6021,0.5813,Trung bình,[INF0243 - Lập trình web (Backend)] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
49,INF0303,Lập trình trên thiết bị di động,TM1,Giải thích cụ thể (Explicit Teaching),0.6594,0.7218,Thấp,[INF0303 - Lập trình trên thiết bị di động] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
50,INF1453,Đồ họa máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.6412,0.239,Cao,[INF1453 - Đồ họa máy tính] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
51,PLO0043,Triết học Mác - Lênin,TM1,Giải thích cụ thể (Explicit Teaching),0.94,0.6995,Thấp,"[PLO0043 - Triết học Mác - Lênin] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
52,INF0823,Thiết kế web (frontend),TM1,Giải thích cụ thể (Explicit Teaching),0.9842,0.7291,Thấp,[INF0823 - Thiết kế web (frontend)] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
53,INF1063,Học máy (Machine Learning),TM1,Giải thích cụ thể (Explicit Teaching),0.6897,0.3697,Trung bình,[INF1063 - Học máy (Machine Learning)] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
54,INF0823,Thiết kế web (frontend),TM1,Giải thích cụ thể (Explicit Teaching),0.5272,0.6419,Thấp,"[INF0823 - Thiết kế web (frontend)] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
55,PLO0072,Lịch sử Đảng Cộng sản Việt Nam,TM1,Giải thích cụ thể (Explicit Teaching),0.9497,0.4951,Trung bình,"[PLO0072 - Lịch sử Đảng Cộng sản Việt Nam] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
56,INF1293,Phân tích dữ liệu lớn,TM1,Giải thích cụ thể (Explicit Teaching),0.537,0.7011,Thấp,"[INF1293 - Phân tích dữ liệu lớn] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
57,SKI0011,Kỹ năng thuyết trình,TM1,Giải thích cụ thể (Explicit Teaching),0.6196,0.4738,Trung bình,[SKI0011 - Kỹ năng thuyết trình] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
58,PLO0043,Triết học Mác - Lênin,TM1,Giải thích cụ thể (Explicit Teaching),0.778,0.2222,Cao,"[PLO0043 - Triết học Mác - Lênin] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
59,INF0243,Lập trình web (Backend),TM1,Giải thích cụ thể (Explicit Teaching),0.8439,0.7623,Thấp,[INF0243 - Lập trình web (Backend)] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
60,INF1393,Kiến trúc máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.7718,0.5194,Trung bình,"[INF1393 - Kiến trúc máy tính] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
61,PLO0032,Tư tưởng Hồ Chí Minh,TM1,Giải thích cụ thể (Explicit Teaching),0.6204,0.4617,Trung bình,[PLO0032 - Tư tưởng Hồ Chí Minh] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
62,INF1203,Hệ thống thông minh,TM1,Giải thích cụ thể (Explicit Teaching),0.6933,0.5489,Trung bình,[INF1203 - Hệ thống thông minh] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
63,INF1463,Khai phá dữ liệu,TM1,Giải thích cụ thể (Explicit Teaching),0.5046,0.9866,Tốt,[INF1463 - Khai phá dữ liệu] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
64,INF1543,Thực tập tốt nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.6738,0.625,Thấp,[INF1543 - Thực tập tốt nghiệp] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
65,INF0243,Lập trình web (Backend),TM1,Giải thích cụ thể (Explicit Teaching),0.4299,0.2255,Cao,[INF0243 - Lập trình web (Backend)] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
66,INF1303,Phân tích dữ liệu kinh doanh,TM1,Giải thích cụ thể (Explicit Teaching),0.6176,0.741,Thấp,[INF1303 - Phân tích dữ liệu kinh doanh] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
67,PLO0072,Lịch sử Đảng Cộng sản Việt Nam,TM1,Giải thích cụ thể (Explicit Teaching),0.6605,0.2814,Cao,[PLO0072 - Lịch sử Đảng Cộng sản Việt Nam] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
68,SKI0011,Kỹ năng thuyết trình,TM1,Giải thích cụ thể (Explicit Teaching),0.5157,0.388,Trung bình,"[SKI0011 - Kỹ năng thuyết trình] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
69,INF1003,Điện toán đám mây,TM1,Giải thích cụ thể (Explicit Teaching),0.7386,0.4374,Trung bình,[INF1003 - Điện toán đám mây] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
70,INF0083,Cơ sở dữ liệu,TM1,Giải thích cụ thể (Explicit Teaching),0.5402,0.1894,Cao,[INF0083 - Cơ sở dữ liệu] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
71,PLO0072,Lịch sử Đảng Cộng sản Việt Nam,TM1,Giải thích cụ thể (Explicit Teaching),0.8454,0.4256,Trung bình,[PLO0072 - Lịch sử Đảng Cộng sản Việt Nam] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
72,INF1433,Thiết kế minh hoạ,TM1,Giải thích cụ thể (Explicit Teaching),0.6143,0.4756,Trung bình,[INF1433 - Thiết kế minh hoạ] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
73,PLO0043,Triết học Mác - Lênin,TM1,Giải thích cụ thể (Explicit Teaching),1.0,0.4392,Trung bình,[PLO0043 - Triết học Mác - Lênin] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
74,INF1443,Thiết kế UX/UI,TM1,Giải thích cụ thể (Explicit Teaching),0.9646,0.2135,Cao,"[INF1443 - Thiết kế UX/UI] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
75,INF1522,Dự án nghề cơ bản,TM1,Giải thích cụ thể (Explicit Teaching),0.5314,0.6602,Thấp,[INF1522 - Dự án nghề cơ bản] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
76,INF1532,Dự án nghề nâng cao,TM1,Giải thích cụ thể (Explicit Teaching),0.6715,0.2739,Cao,[INF1532 - Dự án nghề nâng cao] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
77,INF0802,Giới thiệu ngành và Kỹ năng nghề nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.6105,0.5295,Trung bình,[INF0802 - Giới thiệu ngành và Kỹ năng nghề nghiệp] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
78,INF1073,Xử lý ngôn ngữ tự nhiên,TM1,Giải thích cụ thể (Explicit Teaching),0.5436,0.2682,Cao,[INF1073 - Xử lý ngôn ngữ tự nhiên] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
79,INF1522,Dự án nghề cơ bản,TM1,Giải thích cụ thể (Explicit Teaching),0.7668,0.6798,Thấp,[INF1522 - Dự án nghề cơ bản] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
80,INF1143,Xử lý ảnh số và thị giác máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.6867,0.2302,Cao,[INF1143 - Xử lý ảnh số và thị giác máy tính] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
81,INF1543,Thực tập tốt nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.6075,0.8493,Thấp,[INF1543 - Thực tập tốt nghiệp] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
82,PLO0052,Kinh tế chính trị Mác - Lênin,TM1,Giải thích cụ thể (Explicit Teaching),0.7635,0.8906,Tốt,[PLO0052 - Kinh tế chính trị Mác - Lênin] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
83,INF1502,Xử lý hậu kỳ,TM1,Giải thích cụ thể (Explicit Teaching),0.486,0.6023,Thấp,"[INF1502 - Xử lý hậu kỳ] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
84,INF0103,Nhập môn Trí tuệ nhân tạo,TM1,Giải thích cụ thể (Explicit Teaching),0.6505,0.7646,Thấp,"[INF0103 - Nhập môn Trí tuệ nhân tạo] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
85,SKI0061,Kỹ năng tư duy phản biện,TM1,Giải thích cụ thể (Explicit Teaching),0.6987,0.3769,Trung bình,[SKI0061 - Kỹ năng tư duy phản biện] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
86,INF0653,Kiến trúc phần mềm hiện đại,TM1,Giải thích cụ thể (Explicit Teaching),1.0,0.0669,Cao,[INF0653 - Kiến trúc phần mềm hiện đại] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
87,PLO0052,Kinh tế chính trị Mác - Lênin,TM1,Giải thích cụ thể (Explicit Teaching),1.0,0.5143,Trung bình,"[PLO0052 - Kinh tế chính trị Mác - Lênin] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
88,INF0992,Công nghệ IoT,TM1,Giải thích cụ thể (Explicit Teaching),0.8435,0.5971,Trung bình,[INF0992 - Công nghệ IoT] Giảng viên chưa gắn bài với thực tiễn,Dùng video mô phỏng
89,INF1423,Thiết kế hình ảnh,TM1,Giải thích cụ thể (Explicit Teaching),0.4851,0.9708,Tốt,[INF1423 - Thiết kế hình ảnh] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
90,SKI0091,Kỹ năng khởi nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.6918,0.8174,Thấp,"[SKI0091 - Kỹ năng khởi nghiệp] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
91,INF1063,Học máy (Machine Learning),TM1,Giải thích cụ thể (Explicit Teaching),0.4837,0.9156,Tốt,"[INF1063 - Học máy (Machine Learning)] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
92,PLO0052,Kinh tế chính trị Mác - Lênin,TM1,Giải thích cụ thể (Explicit Teaching),0.6166,0.2453,Cao,"[PLO0052 - Kinh tế chính trị Mác - Lênin] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
93,INF1213,Robot công nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.7486,0.4374,Trung bình,[INF1213 - Robot công nghiệp] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
94,INF1453,Đồ họa máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.6256,0.2911,Cao,[INF1453 - Đồ họa máy tính] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
95,INF0433,Nhập môn lập trình,TM1,Giải thích cụ thể (Explicit Teaching),0.7687,0.3904,Trung bình,"[INF0433 - Nhập môn lập trình] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
96,INF1143,Xử lý ảnh số và thị giác máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.448,0.6003,Thấp,[INF1143 - Xử lý ảnh số và thị giác máy tính] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
97,INF1393,Kiến trúc máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.7217,0.1423,Cao,[INF1393 - Kiến trúc máy tính] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
98,INF1293,Phân tích dữ liệu lớn,TM1,Giải thích cụ thể (Explicit Teaching),0.5832,0.6506,Thấp,"[INF1293 - Phân tích dữ liệu lớn] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
99,INF1463,Khai phá dữ liệu,TM1,Giải thích cụ thể (Explicit Teaching),0.6327,0.7759,Thấp,[INF1463 - Khai phá dữ liệu] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
100,INF0137,Đồ án tốt nghiệp (**),TM1,Giải thích cụ thể (Explicit Teaching),0.4816,0.6315,Thấp,[INF0137 - Đồ án tốt nghiệp (**)] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
101,INF1423,Thiết kế hình ảnh,TM1,Giải thích cụ thể (Explicit Teaching),0.3301,0.1576,Cao,[INF1423 - Thiết kế hình ảnh] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
102,INF1383,Tin học cơ sở (Introduction to Informatics),TM1,Giải thích cụ thể (Explicit Teaching),0.4536,0.1995,Cao,"[INF1383 - Tin học cơ sở (Introduction to Informatics)] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
103,INF0653,Kiến trúc phần mềm hiện đại,TM1,Giải thích cụ thể (Explicit Teaching),0.8107,0.9794,Tốt,"[INF0653 - Kiến trúc phần mềm hiện đại] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
104,INF1502,Xử lý hậu kỳ,TM1,Giải thích cụ thể (Explicit Teaching),0.8538,0.602,Thấp,[INF1502 - Xử lý hậu kỳ] Giảng viên chưa gắn bài với thực tiễn,Chèn câu hỏi gợi mở
105,INF1543,Thực tập tốt nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.6226,0.3101,Trung bình,[INF1543 - Thực tập tốt nghiệp] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
106,SKI0091,Kỹ năng khởi nghiệp,TM1,Giải thích cụ thể (Explicit Teaching),0.7941,0.395,Trung bình,[SKI0091 - Kỹ năng khởi nghiệp] Sinh viên khó theo kịp tốc độ giảng,Chèn câu hỏi gợi mở
107,INF1532,Dự án nghề nâng cao,TM1,Giải thích cụ thể (Explicit Teaching),0.674,0.5179,Trung bình,[INF1532 - Dự án nghề nâng cao] Sinh viên khó theo kịp tốc độ giảng,Dùng video mô phỏng
108,INF1403,Anh văn chuyên ngành CNTT,TM1,Giải thích cụ thể (Explicit Teaching),0.69,0.3485,Trung bình,"[INF1403 - Anh văn chuyên ngành CNTT] Slide bài giảng dài, thiếu hoạt động xen kẽ",Dùng video mô phỏng
109,SKI0061,Kỹ năng tư duy phản biện,TM1,Giải thích cụ thể (Explicit Teaching),0.6632,0.9067,Tốt,[SKI0061 - Kỹ năng tư duy phản biện] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
110,INF0263,Mạng máy tính,TM1,Giải thích cụ thể (Explicit Teaching),0.7335,0.7602,Thấp,"[INF0263 - Mạng máy tính] Slide bài giảng dài, thiếu hoạt động xen kẽ",Chèn câu hỏi gợi mở
111,INF1303,Phân tích dữ liệu kinh doanh,TM1,Giải thích cụ thể (Explicit Teaching),0.5835,0.5853,Trung bình,[INF1303 - Phân tích dữ liệu kinh doanh] Giảng viên chưa gắn bài với thực tiễn,Thêm ví dụ minh hoạ
112,INF1502,Xử lý hậu kỳ,TM1,Giải thích cụ thể (Explicit Teaching),0.5726,0.598,Trung bình,"[INF1502 - Xử lý hậu kỳ] Slide bài giảng dài, thiếu hoạt động xen kẽ",Thêm ví dụ minh hoạ
113,INF1463,Khai phá dữ liệu,TM1,Giải thích cụ thể (Explicit Teaching),0.6054,0.7947,Thấp,[INF1463 - Khai phá dữ liệu] Sinh viên khó theo kịp tốc độ giảng,Thêm ví dụ minh hoạ
