id,conduct_score_pred,severity_level,reason_text,solution_text
18,0.8887,Tốt,Thực tế cho thấy Tham gia hội nghị sinh viên nghiên cứu khoa học,Phối hợp tổ chức chiến dịch tình nguyện quy mô lớn và báo cáo minh chứng trên LMS
19,0.6164,Thấp,Thực tế cho thấy Tham gia tình nguyện theo nhóm nhỏ thường xuyên,Hỗ trợ truyền thông và hậu cần cho chương trình
20,0.3208,Trung bình,Hoạt động phong trào thiếu tính liên tục. Cần tăng cường tham gia hoạt động có trọng điểm,Hoàn thiện minh chứng rèn luyện ngay sau mỗi hoạt động và báo cáo minh chứng trên LMS
21,0.4074,Trung bình,"Theo ghi nhận, Thỉnh thoảng vắng họp lớp không lý do",Chuẩn bị nội dung trước khi dự seminar học thuật
22,0.4507,Trung bình,Quan sát cho thấy Hoạt động phong trào thiếu tính liên tục. Ảnh hưởng trực tiếp tới điểm rèn luyện,Tăng tần suất tham gia hoạt động lớp và chi đoàn và báo cáo minh chứng trên LMS
23,0.1824,Cao,Không tham gia các cuộc thi học thuật cấp khoa. Ảnh hưởng trực tiếp tới điểm rèn luyện,Hoàn thành minh chứng rèn luyện và nộp trước hạn
24,0.1861,Cao,Chậm trễ trong việc xác nhận minh chứng tham gia,Đăng ký ít nhất 1 chương trình tình nguyện dài ngày
25,0.7457,Thấp,"Theo ghi nhận, Tham gia cuộc thi học thuật và đạt thành tích khá. Cần tăng cường tham gia hoạt động có trọng điểm",Hệ quả là ghi nhận thành tích và nộp minh chứng đúng hạn
26,0.855,Tốt,Quan sát cho thấy Đóng góp sáng kiến chuyển đổi số cho hoạt động Đoàn,Xây dựng cẩm nang rèn luyện và chia sẻ rộng rãi và báo cáo minh chứng trên LMS
27,0.8151,Thấp,Chủ động hỗ trợ công tác tổ chức sự kiện,Đề xuất nội dung tập huấn kỹ năng cho chi đoàn và báo cáo minh chứng trên LMS
28,0.4916,Trung bình,Quan sát cho thấy Tương tác hạn chế trong sinh hoạt chi đoàn,Mở rộng tham gia cuộc thi học thuật cấp khoa và báo cáo minh chứng trên LMS
29,0.6255,Thấp,Quan sát cho thấy Giữ vai trò điều phối nhóm trong hoạt động thiện nguyện,Tham gia các dự án cộng đồng dài hạn và báo cáo minh chứng trên LMS
30,0.2167,Cao,"Trong học kỳ này, Không tham gia hội thảo học thuật hoặc seminar chuyên đề",Lập kế hoạch tham gia tối thiểu 3 hoạt động Đoàn–Hội trong tháng
31,0.991,Tốt,Thực tế cho thấy Chủ trì dự án cộng đồng được Đoàn trường ghi nhận. Cần tăng cường tham gia hoạt động có trọng điểm,Lan tỏa sáng kiến rèn luyện hiệu quả đến chi đoàn khác
32,0.8848,Tốt,Quan sát cho thấy Thường xuyên tổ chức seminar chia sẻ học thuật,Xây dựng mô hình CLB học thuật bền vững
33,0.5592,Trung bình,"Đáng chú ý, Kỹ năng làm việc nhóm còn hạn chế",Xây dựng lịch rèn luyện đều đặn theo tuần và báo cáo minh chứng trên LMS
34,0.9411,Tốt,"Trong học kỳ này, Tham gia hội nghị sinh viên nghiên cứu khoa học",Đề cử tham gia giải thưởng rèn luyện cấp trường
35,0.964,Tốt,Chủ trì dự án cộng đồng được Đoàn trường ghi nhận. Ảnh hưởng trực tiếp tới điểm rèn luyện,Tiếp tục phát huy vai trò hạt nhân phong trào và báo cáo minh chứng trên LMS
36,0.0314,Cao,"Đáng chú ý, Không đăng ký nhiệm vụ cộng đồng theo kế hoạch",Tham gia câu lạc bộ học thuật theo sở thích cá nhân
37,0.1878,Cao,"Trong học kỳ này, Vi phạm quy định ứng xử tại sự kiện của trường",Đăng ký trực nhật/lực lượng hậu cần trong sự kiện
38,0.9487,Tốt,Quan sát cho thấy Điều phối các chiến dịch tình nguyện quy mô lớn,Xây dựng mô hình CLB học thuật bền vững
39,0.8912,Tốt,"Theo ghi nhận, Đảm nhận vai trò bí thư hoặc lớp trưởng gương mẫu",Đề cử tham gia giải thưởng rèn luyện cấp trường và báo cáo minh chứng trên LMS
40,0.9252,Tốt,"Đáng chú ý, Làm gương trong kỷ luật và tinh thần cộng đồng",Tổ chức hội thảo chuyên đề liên khoa và báo cáo minh chứng trên LMS
41,0.7873,Thấp,"Theo ghi nhận, Tham gia ổn định các hoạt động Đoàn–Hội",Ghi nhận thành tích và nộp minh chứng đúng hạn
42,0.9674,Tốt,"Đáng chú ý, Làm gương trong kỷ luật và tinh thần cộng đồng",Xây dựng mô hình CLB học thuật bền vững và báo cáo minh chứng trên LMS
43,0.1121,Cao,Thực tế cho thấy Vi phạm quy định ứng xử tại sự kiện của trường,Tham dự tối thiểu 2 seminar học thuật mỗi tháng và báo cáo minh chứng trên LMS
44,0.169,Cao,Thực tế cho thấy Bỏ lỡ buổi sinh hoạt lớp đánh giá rèn luyện giữa kỳ. Cần tăng cường tham gia hoạt động có trọng điểm,Tham gia câu lạc bộ học thuật theo sở thích cá nhân và báo cáo minh chứng trên LMS
45,0.6304,Thấp,"Đáng chú ý, Đóng góp hoạt động cộng đồng tại địa phương",Nhận thêm vai trò điều phối trong sự kiện
46,0.848,Thấp,Quan sát cho thấy Tham gia cuộc thi học thuật và đạt thành tích khá. Ảnh hưởng trực tiếp tới điểm rèn luyện,Hệ quả là đảm nhận mentor cho nhóm sinh viên mới
47,0.0434,Cao,Không tham gia hội thảo học thuật hoặc seminar chuyên đề. Cần tăng cường tham gia hoạt động có trọng điểm,Phối hợp với cố vấn học tập để chọn hoạt động phù hợp và báo cáo minh chứng trên LMS
48,0.0063,Cao,Quan sát cho thấy Không nộp minh chứng điểm rèn luyện đúng hạn,Lập kế hoạch tham gia tối thiểu 3 hoạt động Đoàn–Hội trong tháng
49,0.8892,Tốt,Thực tế cho thấy Chủ trì dự án cộng đồng được Đoàn trường ghi nhận,Đề cử tham gia giải thưởng rèn luyện cấp trường và báo cáo minh chứng trên LMS
50,0.6992,Thấp,Hỗ trợ truyền thông cho chương trình của khoa,Duy trì tần suất tham gia và lan tỏa tới bạn bè và báo cáo minh chứng trên LMS
51,0.1508,Cao,Quan sát cho thấy Chậm trễ trong việc xác nhận minh chứng tham gia. Ảnh hưởng trực tiếp tới điểm rèn luyện,Lập kế hoạch tham gia tối thiểu 3 hoạt động Đoàn–Hội trong tháng và báo cáo minh chứng trên LMS
52,0.4587,Trung bình,"Thiếu chiều sâu, tham gia tình nguyện ngắn hạn",Tăng tần suất tham gia hoạt động lớp và chi đoàn
53,0.9973,Tốt,Được tuyên dương về điểm rèn luyện xuất sắc. Ảnh hưởng trực tiếp tới điểm rèn luyện,Lan tỏa sáng kiến rèn luyện hiệu quả đến chi đoàn khác và báo cáo minh chứng trên LMS
54,0.5771,Trung bình,Tinh thần kỷ luật tương đối nhưng chưa gương mẫu,Hệ quả là rèn luyện kỹ năng làm việc nhóm qua dự án
55,0.7167,Thấp,Quan sát cho thấy Duy trì tinh thần hợp tác và trách nhiệm. Ảnh hưởng trực tiếp tới điểm rèn luyện,Tham gia các dự án cộng đồng dài hạn và báo cáo minh chứng trên LMS
56,0.7352,Thấp,"Trong học kỳ này, Đóng góp đều cho hoạt động lớp và chi đoàn",Duy trì tần suất tham gia và lan tỏa tới bạn bè và báo cáo minh chứng trên LMS
57,0.8002,Thấp,Có kế hoạch rèn luyện cá nhân theo tháng. Cần tăng cường tham gia hoạt động có trọng điểm,Mở rộng hợp tác với CLB khác trong khoa
58,0.872,Tốt,"Theo ghi nhận, Làm gương trong kỷ luật và tinh thần cộng đồng",Tiếp tục phát huy vai trò hạt nhân phong trào và báo cáo minh chứng trên LMS
59,0.0702,Cao,Thực tế cho thấy Không tham gia hội thảo học thuật hoặc seminar chuyên đề. Cần tăng cường tham gia hoạt động có trọng điểm,Tham gia tập huấn kỹ năng mềm do Đoàn tổ chức và báo cáo minh chứng trên LMS
60,0.2004,Cao,"Trong học kỳ này, Không hoàn thành số buổi sinh hoạt chi đoàn theo quy định. Ảnh hưởng trực tiếp tới điểm rèn luyện",Tham dự tối thiểu 2 seminar học thuật mỗi tháng và báo cáo minh chứng trên LMS
61,0.3459,Trung bình,Hoạt động phong trào thiếu tính liên tục,"Do đó, đặt mục tiêu điểm rèn luyện từng giai đoạn"
62,0.7678,Thấp,"Trong học kỳ này, Tương tác tích cực trong các buổi sinh hoạt kỹ năng",Tham gia các dự án cộng đồng dài hạn
63,0.9505,Tốt,Đảm nhận vai trò bí thư hoặc lớp trưởng gương mẫu. Cần tăng cường tham gia hoạt động có trọng điểm,Đề cử tham gia giải thưởng rèn luyện cấp trường
64,0.9825,Tốt,Quan sát cho thấy Kết nối doanh nghiệp đồng hành cùng hoạt động sinh viên,Xây dựng cẩm nang rèn luyện và chia sẻ rộng rãi
65,0.8584,Tốt,Đóng góp sáng kiến chuyển đổi số cho hoạt động Đoàn,Xây dựng mô hình CLB học thuật bền vững
66,0.335,Trung bình,Quan sát cho thấy Ít đề xuất sáng kiến cho chi đoàn,Xây dựng lịch rèn luyện đều đặn theo tuần
67,0.0854,Cao,Thực tế cho thấy Thiếu tinh thần hợp tác trong dự án cộng đồng. Cần tăng cường tham gia hoạt động có trọng điểm,Hoàn thành minh chứng rèn luyện và nộp trước hạn và báo cáo minh chứng trên LMS
68,0.9662,Tốt,Dẫn dắt câu lạc bộ học thuật của khoa. Cần tăng cường tham gia hoạt động có trọng điểm,Huấn luyện kỹ năng lãnh đạo cho khóa dưới
69,0.7345,Thấp,Tương tác tích cực trong các buổi sinh hoạt kỹ năng,Đảm nhận mentor cho nhóm sinh viên mới và báo cáo minh chứng trên LMS
70,0.1284,Cao,Bỏ qua chương trình thiện nguyện của trường. Cần tăng cường tham gia hoạt động có trọng điểm,Đăng ký trực nhật/lực lượng hậu cần trong sự kiện
71,0.4988,Trung bình,Thực tế cho thấy Chưa có minh chứng đóng góp cộng đồng nổi bật. Cần tăng cường tham gia hoạt động có trọng điểm,Chủ động nhận nhiệm vụ trong sự kiện của khoa
72,0.2492,Cao,"Theo ghi nhận, Không tham gia các cuộc thi học thuật cấp khoa","Vì vậy, phối hợp với cố vấn học tập để chọn hoạt động phù hợp và báo cáo minh chứng trên LMS"
73,0.542,Trung bình,Đóng góp hoạt động lớp ở mức tối thiểu. Ảnh hưởng trực tiếp tới điểm rèn luyện,Hoàn thiện minh chứng rèn luyện ngay sau mỗi hoạt động
74,0.1529,Cao,"Trong học kỳ này, Không hoàn thành số buổi sinh hoạt chi đoàn theo quy định",Đăng ký ít nhất 1 chương trình tình nguyện dài ngày
75,0.7762,Thấp,Thực tế cho thấy Duy trì tinh thần hợp tác và trách nhiệm. Ảnh hưởng trực tiếp tới điểm rèn luyện,Tổ chức hoạt động học thuật quy mô nhỏ
76,0.1766,Cao,Chưa hoàn thành cam kết rèn luyện đầu kỳ. Cần tăng cường tham gia hoạt động có trọng điểm,Thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần và báo cáo minh chứng trên LMS
77,0.3308,Trung bình,"Theo ghi nhận, Kỹ năng làm việc nhóm còn hạn chế. Cần tăng cường tham gia hoạt động có trọng điểm",Hệ quả là hoàn thiện minh chứng rèn luyện ngay sau mỗi hoạt động và báo cáo minh chứng trên LMS
78,0.6669,Thấp,Giữ tác phong kỷ luật tốt trong sự kiện,Ghi nhận thành tích và nộp minh chứng đúng hạn
79,0.9899,Tốt,Chủ trì dự án cộng đồng được Đoàn trường ghi nhận,Định hướng đề tài NCKH cho nhóm sinh viên
80,0.4255,Trung bình,"Trong học kỳ này, Có tham gia hội thảo học thuật nhưng chuẩn bị còn sơ sài",Chuẩn bị nội dung trước khi dự seminar học thuật và báo cáo minh chứng trên LMS
81,0.5154,Trung bình,Tham gia hoạt động Đoàn–Hội nhưng tần suất chưa đều. Cần tăng cường tham gia hoạt động có trọng điểm,Mở rộng tham gia cuộc thi học thuật cấp khoa và báo cáo minh chứng trên LMS
82,0.2481,Cao,Bỏ qua chương trình thiện nguyện của trường. Ảnh hưởng trực tiếp tới điểm rèn luyện,"Vì vậy, tham dự tối thiểu 2 seminar học thuật mỗi tháng"
83,0.0753,Cao,"Đáng chú ý, Không nộp minh chứng điểm rèn luyện đúng hạn",Hệ quả là hoàn thành minh chứng rèn luyện và nộp trước hạn
84,0.9005,Tốt,Thực tế cho thấy Xây dựng mô hình rèn luyện hiệu quả cho chi đoàn,Đề cử tham gia giải thưởng rèn luyện cấp trường và báo cáo minh chứng trên LMS
85,0.1983,Cao,"Theo ghi nhận, Không hoàn thành số buổi sinh hoạt chi đoàn theo quy định",Tham gia câu lạc bộ học thuật theo sở thích cá nhân
86,0.7376,Thấp,Quan sát cho thấy Đề xuất ý tưởng hoạt động cho chi đoàn. Cần tăng cường tham gia hoạt động có trọng điểm,Đề xuất nội dung tập huấn kỹ năng cho chi đoàn
87,0.966,Tốt,Tham gia hội nghị sinh viên nghiên cứu khoa học,Định hướng đề tài NCKH cho nhóm sinh viên và báo cáo minh chứng trên LMS
88,0.7109,Thấp,"Trong học kỳ này, Kết nối bạn bè tham gia thêm hoạt động học thuật",Hệ quả là đảm nhận mentor cho nhóm sinh viên mới
89,0.5004,Trung bình,Tham gia seminar nhưng không phản hồi nội dung. Cần tăng cường tham gia hoạt động có trọng điểm,Chuẩn bị nội dung trước khi dự seminar học thuật
90,0.7101,Thấp,Thực tế cho thấy Hỗ trợ truyền thông cho chương trình của khoa,Tham gia các dự án cộng đồng dài hạn và báo cáo minh chứng trên LMS
91,0.8959,Tốt,Quan sát cho thấy Huấn luyện kỹ năng mềm cho các khóa dưới,Tổ chức hội thảo chuyên đề liên khoa
92,0.6168,Thấp,Đề xuất ý tưởng hoạt động cho chi đoàn. Ảnh hưởng trực tiếp tới điểm rèn luyện,Mở rộng hợp tác với CLB khác trong khoa và báo cáo minh chứng trên LMS
93,0.9341,Tốt,Đạt giải cao trong cuộc thi học thuật cấp trường. Cần tăng cường tham gia hoạt động có trọng điểm,Hệ quả là huấn luyện kỹ năng lãnh đạo cho khóa dưới
94,0.4325,Trung bình,Tham gia câu lạc bộ học thuật nhưng ít hoạt động,Mở rộng tham gia cuộc thi học thuật cấp khoa
95,0.6851,Thấp,Thực tế cho thấy Giữ vai trò điều phối nhóm trong hoạt động thiện nguyện. Ảnh hưởng trực tiếp tới điểm rèn luyện,Đảm nhận mentor cho nhóm sinh viên mới
96,0.0023,Cao,Không hoàn thành số buổi sinh hoạt chi đoàn theo quy định,Thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần
97,0.8906,Tốt,Thực tế cho thấy Xây dựng mô hình rèn luyện hiệu quả cho chi đoàn,Xây dựng mô hình CLB học thuật bền vững và báo cáo minh chứng trên LMS
98,0.1445,Cao,"Trong học kỳ này, Thiếu tinh thần hợp tác trong dự án cộng đồng","Vì vậy, tham gia đội hình tình nguyện tại địa phương và báo cáo minh chứng trên LMS"
99,0.3545,Trung bình,Đôi khi quên cập nhật nhật ký rèn luyện. Ảnh hưởng trực tiếp tới điểm rèn luyện,Chủ động nhận nhiệm vụ trong sự kiện của khoa
100,0.1467,Cao,"Trong học kỳ này, Không đăng ký nhiệm vụ cộng đồng theo kế hoạch. Cần tăng cường tham gia hoạt động có trọng điểm",Thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần
101,0.0463,Cao,Không tham gia hội thảo học thuật hoặc seminar chuyên đề,Đăng ký ít nhất 1 chương trình tình nguyện dài ngày
102,0.2174,Cao,"Trong học kỳ này, Không đăng ký nhiệm vụ cộng đồng theo kế hoạch","Do đó, phối hợp với cố vấn học tập để chọn hoạt động phù hợp và báo cáo minh chứng trên LMS"
103,0.6216,Thấp,"Đáng chú ý, Có kế hoạch rèn luyện cá nhân theo tháng",Duy trì tần suất tham gia và lan tỏa tới bạn bè
104,0.9395,Tốt,Tham gia hội nghị sinh viên nghiên cứu khoa học. Cần tăng cường tham gia hoạt động có trọng điểm,Xây dựng cẩm nang rèn luyện và chia sẻ rộng rãi
105,0.3607,Trung bình,Tham gia thi học thuật nhưng dừng ở vòng loại,Xây dựng lịch rèn luyện đều đặn theo tuần
106,0.6832,Thấp,Tham gia tập huấn kỹ năng mềm theo lộ trình,Tham gia các dự án cộng đồng dài hạn
107,0.9483,Tốt,"Đáng chú ý, Được đề cử học bổng rèn luyện – phong trào",Xây dựng cẩm nang rèn luyện và chia sẻ rộng rãi và báo cáo minh chứng trên LMS
108,0.0127,Cao,"Theo ghi nhận, Chậm trễ trong việc xác nhận minh chứng tham gia. Cần tăng cường tham gia hoạt động có trọng điểm",Đăng ký ít nhất 1 chương trình tình nguyện dài ngày
109,0.9177,Tốt,"Đáng chú ý, Dẫn dắt câu lạc bộ học thuật của khoa. Ảnh hưởng trực tiếp tới điểm rèn luyện","Vì vậy, lan tỏa sáng kiến rèn luyện hiệu quả đến chi đoàn khác và báo cáo minh chứng trên LMS"
110,0.5519,Trung bình,Ít đề xuất sáng kiến cho chi đoàn,Tham gia nhóm học tập tình nguyện cố định
111,0.4214,Trung bình,"Theo ghi nhận, Nộp minh chứng rèn luyện sát hạn chót",Tăng tần suất tham gia hoạt động lớp và chi đoàn
112,0.981,Tốt,"Trong học kỳ này, Tham gia hội nghị sinh viên nghiên cứu khoa học. Ảnh hưởng trực tiếp tới điểm rèn luyện",Đề cử tham gia giải thưởng rèn luyện cấp trường và báo cáo minh chứng trên LMS
113,0.1544,Cao,"Đáng chú ý, Không tham gia các cuộc thi học thuật cấp khoa","Vì vậy, tham dự tối thiểu 2 seminar học thuật mỗi tháng và báo cáo minh chứng trên LMS"
114,0.5822,Trung bình,Chưa chủ động nhận nhiệm vụ tập thể,Rèn luyện kỹ năng làm việc nhóm qua dự án
115,0.7233,Thấp,Thực tế cho thấy Tích cực dự hội thảo học thuật và đặt câu hỏi. Ảnh hưởng trực tiếp tới điểm rèn luyện,"Từ đó, tham gia các dự án cộng đồng dài hạn"
116,0.0165,Cao,Quan sát cho thấy Bị nhắc nhở kỷ luật do đi học trễ nhiều lần,Hệ quả là hoàn thành minh chứng rèn luyện và nộp trước hạn
117,0.809,Thấp,Quan sát cho thấy Duy trì sinh hoạt câu lạc bộ học thuật,Duy trì tần suất tham gia và lan tỏa tới bạn bè và báo cáo minh chứng trên LMS
118,0.4148,Trung bình,Thỉnh thoảng vắng họp lớp không lý do,Chủ động nhận nhiệm vụ trong sự kiện của khoa
119,0.573,Trung bình,Thiếu kế hoạch rèn luyện theo tuần,Chuẩn bị nội dung trước khi dự seminar học thuật và báo cáo minh chứng trên LMS
120,0.6368,Thấp,Tích cực dự hội thảo học thuật và đặt câu hỏi. Cần tăng cường tham gia hoạt động có trọng điểm,"Vì vậy, đề xuất nội dung tập huấn kỹ năng cho chi đoàn và báo cáo minh chứng trên LMS"
121,0.9156,Tốt,"Trong học kỳ này, Được đề cử học bổng rèn luyện – phong trào",Định hướng đề tài NCKH cho nhóm sinh viên và báo cáo minh chứng trên LMS
122,0.4324,Trung bình,Quan sát cho thấy Tham gia thi học thuật nhưng dừng ở vòng loại,Xây dựng lịch rèn luyện đều đặn theo tuần và báo cáo minh chứng trên LMS
123,0.6585,Thấp,"Trong học kỳ này, Tham gia ổn định các hoạt động Đoàn–Hội",Duy trì tần suất tham gia và lan tỏa tới bạn bè
124,0.5262,Trung bình,"Trong học kỳ này, Chưa chủ động nhận nhiệm vụ tập thể",Mở rộng tham gia cuộc thi học thuật cấp khoa và báo cáo minh chứng trên LMS
125,0.9809,Tốt,"Trong học kỳ này, Kết nối doanh nghiệp đồng hành cùng hoạt động sinh viên",Huấn luyện kỹ năng lãnh đạo cho khóa dưới và báo cáo minh chứng trên LMS
126,0.8813,Tốt,"Trong học kỳ này, Làm gương trong kỷ luật và tinh thần cộng đồng. Cần tăng cường tham gia hoạt động có trọng điểm",Tiếp tục phát huy vai trò hạt nhân phong trào
127,0.7709,Thấp,"Đáng chú ý, Hỗ trợ truyền thông cho chương trình của khoa","Từ đó, chia sẻ kinh nghiệm rèn luyện cho lớp"
128,0.9672,Tốt,Tham gia hội nghị sinh viên nghiên cứu khoa học,Kết nối doanh nghiệp tài trợ hoạt động sinh viên
129,0.8297,Thấp,"Theo ghi nhận, Giữ tác phong kỷ luật tốt trong sự kiện",Mở rộng hợp tác với CLB khác trong khoa
130,0.894,Tốt,Kết nối doanh nghiệp đồng hành cùng hoạt động sinh viên,Lan tỏa sáng kiến rèn luyện hiệu quả đến chi đoàn khác
131,0.9359,Tốt,Thực tế cho thấy Đảm nhận vai trò bí thư hoặc lớp trưởng gương mẫu. Cần tăng cường tham gia hoạt động có trọng điểm,Đề cử tham gia giải thưởng rèn luyện cấp trường
132,0.2759,Cao,"Trong học kỳ này, Vi phạm nội quy trong sự kiện của khoa. Cần tăng cường tham gia hoạt động có trọng điểm",Tham dự tối thiểu 2 seminar học thuật mỗi tháng
133,0.6391,Thấp,Tham gia ổn định các hoạt động Đoàn–Hội,Hỗ trợ truyền thông và hậu cần cho chương trình
134,0.4716,Trung bình,"Theo ghi nhận, Tham gia thi học thuật nhưng dừng ở vòng loại. Ảnh hưởng trực tiếp tới điểm rèn luyện",Xây dựng lịch rèn luyện đều đặn theo tuần
135,0.6615,Thấp,"Đáng chú ý, Chia sẻ kinh nghiệm tham gia phong trào với lớp. Ảnh hưởng trực tiếp tới điểm rèn luyện",Đảm nhận mentor cho nhóm sinh viên mới
136,0.992,Tốt,Quan sát cho thấy Thường xuyên tổ chức seminar chia sẻ học thuật,Xây dựng mô hình CLB học thuật bền vững và báo cáo minh chứng trên LMS
137,0.927,Tốt,Thực tế cho thấy Được đề cử học bổng rèn luyện – phong trào,Huấn luyện kỹ năng lãnh đạo cho khóa dưới
138,0.6891,Thấp,"Theo ghi nhận, Chia sẻ kinh nghiệm tham gia phong trào với lớp",Chia sẻ kinh nghiệm rèn luyện cho lớp và báo cáo minh chứng trên LMS
139,0.9644,Tốt,Đạt giải cao trong cuộc thi học thuật cấp trường,"Vì vậy, xây dựng cẩm nang rèn luyện và chia sẻ rộng rãi"
140,0.8038,Thấp,Đóng góp hoạt động cộng đồng tại địa phương,Chia sẻ kinh nghiệm rèn luyện cho lớp và báo cáo minh chứng trên LMS
141,0.4611,Trung bình,Kỹ năng làm việc nhóm còn hạn chế,Chuẩn bị nội dung trước khi dự seminar học thuật
142,0.2847,Cao,"Theo ghi nhận, Bị nhắc nhở kỷ luật do đi học trễ nhiều lần",Tham gia tập huấn kỹ năng mềm do Đoàn tổ chức
143,0.654,Thấp,Quan sát cho thấy Duy trì sinh hoạt câu lạc bộ học thuật. Cần tăng cường tham gia hoạt động có trọng điểm,Tham gia các dự án cộng đồng dài hạn
144,0.8305,Thấp,Thực tế cho thấy Tham gia tình nguyện theo nhóm nhỏ thường xuyên,Mở rộng hợp tác với CLB khác trong khoa
145,0.7381,Thấp,"Đáng chú ý, Duy trì sinh hoạt câu lạc bộ học thuật. Cần tăng cường tham gia hoạt động có trọng điểm","Do đó, duy trì tần suất tham gia và lan tỏa tới bạn bè"
146,0.6567,Thấp,Thực tế cho thấy Tham gia tình nguyện theo nhóm nhỏ thường xuyên. Cần tăng cường tham gia hoạt động có trọng điểm,Tham gia các dự án cộng đồng dài hạn và báo cáo minh chứng trên LMS
147,0.9142,Tốt,Được đề cử học bổng rèn luyện – phong trào. Cần tăng cường tham gia hoạt động có trọng điểm,Định hướng đề tài NCKH cho nhóm sinh viên và báo cáo minh chứng trên LMS
148,0.9543,Tốt,"Trong học kỳ này, Chủ trì dự án cộng đồng được Đoàn trường ghi nhận. Ảnh hưởng trực tiếp tới điểm rèn luyện",Kết nối doanh nghiệp tài trợ hoạt động sinh viên
149,0.8956,Tốt,"Trong học kỳ này, Đạt giải cao trong cuộc thi học thuật cấp trường",Tổ chức hội thảo chuyên đề liên khoa
150,0.5332,Trung bình,"Theo ghi nhận, Kỹ năng làm việc nhóm còn hạn chế. Cần tăng cường tham gia hoạt động có trọng điểm",Chủ động nhận nhiệm vụ trong sự kiện của khoa
151,0.7159,Thấp,Hỗ trợ truyền thông cho chương trình của khoa,Nhận thêm vai trò điều phối trong sự kiện và báo cáo minh chứng trên LMS
152,0.8582,Tốt,"Trong học kỳ này, Được đề cử học bổng rèn luyện – phong trào. Cần tăng cường tham gia hoạt động có trọng điểm",Phối hợp tổ chức chiến dịch tình nguyện quy mô lớn
153,0.0269,Cao,"Theo ghi nhận, Bị nhắc nhở kỷ luật do đi học trễ nhiều lần. Cần tăng cường tham gia hoạt động có trọng điểm","Từ đó, thực hiện cam kết kỷ luật và theo dõi tiến độ hằng tuần"
